State,Year,Month,Month_Num,Date,Month_Total,Group,Category,Total,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Goods Carrier,2944,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Tractor (Commercial),898,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Private Service Vehicle,13,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Maxi Cab,66,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Motor Cab,593,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Bus,118,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Educational Institution Bus,95,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Ambulance,40,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Fire Tenders,1,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Articulated Vehicle,23,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Luxury Cab,9,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Three Wheeler (Passenger),3123,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Three Wheeler (Goods),522,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Tractor (Commercial),537,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Private Service Vehicle,4,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Motor Cab,367,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Bus,75,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Educational Institution Bus,574,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Ambulance,163,
Andhra Pradesh(84),2023,JUN,6,2023-06-01,63372,"Transport
7,847",-Omni Bus,6,
